0 qid:1 1:0.375 2:0.506 3:0.878 4:0.688 5:0.695 6:0 # lp9855f
0 qid:1 1:0 2:0.3 3:0.984 4:0.625 5:1 6:0 # lp102b02
0 qid:1 1:0.938 2:0.769 3:0.976 4:0.125 5:0.438 6:0 # lp30277
0 qid:1 1:0.562 2:0.544 3:0.988 4:0 5:0.663 6:0 # lpb1537
0 qid:1 1:0.188 2:0.169 3:0.878 4:0.875 5:0.808 6:0 # lp81760
0 qid:2 1:0.062 2:0.25 3:0.882 4:0.812 5:0.883 6:0 # lp656d3aa9
0 qid:2 1:0.188 2:0.169 3:0.878 4:0.875 5:0.808 6:0 # lp81760
0 qid:2 1:0.562 2:0.544 3:0.988 4:0 5:0.663 6:0 # lpb1537
0 qid:2 1:0.938 2:0.769 3:0.976 4:0.125 5:0.438 6:0 # lp30277
0 qid:2 1:0 2:0.3 3:0.984 4:0.625 5:1 6:0 # lp102b02
0 qid:3 1:0.562 2:0.656 3:0.89 4:0.5 5:0.583 6:0 # lp741c5
0 qid:3 1:0.188 2:0.169 3:0.878 4:0.875 5:0.808 6:0 # lp81760
0 qid:3 1:0 2:0.3 3:0.984 4:0.625 5:1 6:0 # lp102b02
0 qid:3 1:0.562 2:0.544 3:0.988 4:0 5:0.663 6:0 # lpb1537
0 qid:3 1:0.938 2:0.769 3:0.976 4:0.125 5:0.438 6:0 # lp30277
0 qid:4 1:0.188 2:0.169 3:0.878 4:0.875 5:0.808 6:0 # lp81760
0 qid:4 1:0 2:0.3 3:0.984 4:0.625 5:1 6:0 # lp102b02
0 qid:4 1:0.562 2:0.469 3:0.968 4:0.188 5:0.663 6:0 # lp1bc0d
0 qid:4 1:0.938 2:0.769 3:0.976 4:0.125 5:0.438 6:0 # lp30277
0 qid:4 1:0.562 2:0.544 3:0.988 4:0 5:0.663 6:0 # lpb1537
0 qid:5 1:0.938 2:0.769 3:0.976 4:0.125 5:0.438 6:0 # lp30277
0 qid:5 1:0.188 2:0.262 3:0.968 4:0.25 5:0.887 6:0 # lp3e58e
0 qid:5 1:0.188 2:0.169 3:0.878 4:0.875 5:0.808 6:0 # lp81760
